date_listed,Title,Location,State,Description,price
4/10/2022,3 bedroom bungalow, Liberty Estate,Enugu,3 Bedroom1 Bathroom detached bungalow,700000
4/10/2022,3 bedroom flat, Ziks Avenue,Enugu,1 Bathroom1 Toilet1 Parking Space900 sqm Total Area,350000
3/31/2022,3 bedroom flat, Wtc Estate,Enugu,1 Bathroom1 Toilet1 Parking Space800 sqm Total Area,700000
3/30/2022,3 bedroom flat, Sunrise Estate,Enugu,5 Bedrooms5 Bathrooms5 Toilets750 sqm Total Area,550000
3/28/2022,3 bedroom flat, Amorji Nike,Enugu,3 Bedrooms4 Bathrooms4 Toilets4 Parking Spaces,350000
3/28/2022,Self contain," Imt, Independence Layout",Enugu,5 Bedrooms6 Bathrooms6 Toilets6 Parking Spaces,200000
3/28/2022,Self contain," Lomalinda Extension, Independence Layout",Enugu,1 Bathroom1 Toilet5 Parking Spaces900 sqm Total Area,220000
3/28/2022,3 bedroom flat," New Haven Extension, New Haven",Enugu,1 Bathroom1 Toilet5 Parking Spaces900 sqm Total Area,800000
3/28/2022,3 bedroom bungalow, Centenary Estate,Enugu,"2 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces, detached bungalow",1200000
3/28/2022,3 bedroom flat, Around Monkey Junction Independence Layout,Enugu,3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces,600000
3/28/2022,1 bedroom flat, Trans Ekulu,Enugu,3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces,200000
3/27/2022,4 bedroom flat, Wtc Estate,Enugu,3 Bedrooms4 Bathrooms,2500000
3/27/2022,3 bedroom flat, New Heaven Central,Enugu,3 Bedrooms3 Bathrooms,800000
3/27/2022,1 bedroom flat, Wtc New Layout,Enugu,3 Bedrooms3 Bathrooms,200000
3/27/2022,1 bedroom flat," Towards Toscana Axis, Independence Layout",Enugu,3 Bedrooms3 Bathrooms,350000
3/27/2022,3 bedroom flat, GRA,Enugu,3 Bedrooms,1500000
4/17/2021,2 bedroom flat, Enugu,Enugu,4 Bedrooms5 Bathrooms5 Toilets,350000
10/26/2021,4 bedroom  duplex," Rcc Estate, Trans Ekulu",Enugu,2 Bathrooms2 Toilets15 Parking Spaces,1000000
2/24/2022,2 bedroom flat," Nwazota Cresent, GRA",Enugu,"1,800 sqm Total Area",900000
4/10/2022,2 bedroom  short let, Owerri Municipal,Imo,1 Bedroom1 Bathroom,14600000
4/10/2022,1 bedroom flat, Enugu,Enugu,1 Bedroom1 Bathroom,400000
4/10/2022,3 bedroom flat, Independence Layout,Enugu,1 Bathroom1 Toilet1 Parking Space900 sqm Total Area,500000
3/31/2022,1 bedroom flat, College Rd,Enugu,1 Bathroom1 Toilet1 Parking Space800 sqm Total Area,180000
3/30/2022,3 bedroom flat, Zoo Estate,Enugu,5 Bedrooms5 Bathrooms5 Toilets750 sqm Total Area,750000
3/28/2022,3 bedroom flat, Enugu,Enugu,3 Bedrooms4 Bathrooms4 Toilets4 Parking Spaces,700000
3/28/2022,2 bedroom flat," Toscana, Independence Layout",Enugu,1 Bathroom1 Toilet5 Parking Spaces900 sqm Total Area,750000
3/28/2022,4 bedroom flat," Esbs, Independence Layout",Enugu,1 Bathroom1 Toilet5 Parking Spaces900 sqm Total Area,1500000
3/28/2022,3 bedroom flat," Nowas, Trans Ekulu",Enugu,2 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces,600000
3/28/2022,3 bedroom bungalow," Golf Estate, GRA",Enugu,3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces,800000
3/28/2022,2 bedroom flat, Premier Layout,Enugu,3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces,900000
3/27/2022,3 bedroom flat, Thinkers Corner,Enugu,3 Bedrooms4 Bathrooms,500000
3/27/2022,3 bedroom flat, Lomalinda Extension,Enugu,3 Bedrooms3 Bathrooms,750000
3/27/2022,3 bedroom flat, Liberty Estate Independence Layout,Enugu,3 Bedrooms3 Bathrooms,800000
3/27/2022,3 bedroom flat, Golf Estate Gra,Enugu,3 Bedrooms3 Bathrooms,700000
3/27/2022,5 bedroom flat, Premier Layout,Enugu,3 Bedrooms,50000000
3/23/2022,3 bedroom flat, Liberty Estate,Enugu,3 Bedrooms3 Bathrooms,650000
4/17/2021,3 bedroom flat, New Heaven,Enugu,4 Bedrooms5 Bathrooms5 Toilets,500000
10/26/2021,3 bedroom flat," City Park Independence Layout, Independence Layout",Enugu,2 Bathrooms2 Toilets15 Parking Spaces,600000
2/24/2022,3 bedroom flat, Gra,Enugu,"1,800 sqm Total Area",600000
4/10/2022,1 bedroom flat, Enugu,Enugu,1 Bedroom1 Bathroom,400000
4/10/2022,3 bedroom flat, Independence Layout,Enugu,1 Bathroom1 Toilet1 Parking Space900 sqm Total Area,500000
3/31/2022,1 bedroom flat, College Rd,Enugu,1 Bathroom1 Toilet1 Parking Space800 sqm Total Area,180000
